Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
20,146,9.041180249047992e-14,9.064009512007812e-11,1.7577775524673025e-11,7.273590899148555e-10,2.5864687416103167,-3.182244137851753,2.2877990573464384,-0.7517746674829359,1.3651987599689806e-15,2.3155725910144173e-16,4.012129276711205e-17,2.576789659237646e-23,3.5162657717108065e-24,6.408743962695224,7.191647175606402e-11,1.415608672441111e-11,1.1686983625211558e-11,1.137919590210044e-11,1.2185651465362431e-12,1.9874438751519897e-14,5.3961780886546806e-14,3.4044682297777254e-14,4.269345201793348e-15
21,144,1.440026423093611e-13,1.4415694839751415e-10,3.0212230892519906e-11,-8.900958496250755e-10,2.5213062549508485,-3.0780246742865924,2.2635597148072524,-0.7668527695262352,1.5733055399809231e-15,4.017030731963419e-16,1.3619086972342775e-16,5.920802144987675e-23,5.125584235625522e-24,6.519565687130457,1.0756081997356796e-10,1.9975530982102432e-11,1.5020772794198152e-11,1.7599714861951265e-11,2.5295634278205283e-12,1.3304350789308705e-14,6.280821246011567e-14,6.67525093155932e-14,7.866063630594742e-15
22,178,1.4001113365493458e-13,1.4003452994376692e-10,4.673845551512283e-11,4.626637329638363e-10,2.5124082861110733,-3.08637854470402,2.212158272815201,-0.7309086423677085,1.8610278671249465e-15,7.668894527226468e-16,1.1954459858310602e-16,4.200797628742562e-23,7.07569637051458e-24,6.674725582326312,8.519085608345754e-11,2.0141960277706825e-11,2.9327319464986444e-11,2.8325254612809717e-11,3.612409162636187e-12,1.3151817277723903e-14,6.773773188372638e-14,5.4046985323839065e-14,1.1857452290301107e-14
23,132,1.542217997078457e-13,1.542218630180956e-10,2.4479396383236606e-11,-5.0295985610561034e-11,2.527195681770361,-3.0739288279010117,2.2747835777656875,-0.7734912887510054,1.794999121884045e-15,3.153644581227901e-16,9.689890851175723e-17,6.25492454485564e-23,8.760432915048405e-24,6.189821130906029,1.0841624788448449e-10,1.9302362651555532e-11,9.828744178120102e-12,1.56200197631503e-11,2.083403368617716e-12,2.7721853512216134e-14,6.991300193367273e-14,4.854504967525422e-14,1.172574002054993e-14
24,152,1.3130976849386016e-13,1.3130985464677755e-10,2.8142677445349473e-11,-1.2919208314919902e-10,2.5231379330216472,-3.07564632458391,2.235885565490415,-0.734070658628513,2.0367086326037815e-15,4.531859032721793e-16,6.777937757391982e-17,4.8675073877480393e-23,7.293686142945963e-24,6.0971087127993515,1.1026493003775478e-10,1.4390239371054423e-11,1.3811143047268969e-11,1.74206893764317e-11,2.3267794439849857e-12,3.068815407002888e-14,8.399265116924925e-14,4.026975227460304e-14,8.019028061616247e-15
25,108,9.123575251887594e-14,9.196515220442767e-11,1.0409672278762179e-11,9.455111957558744e-10,2.696468652250406,-3.35798519563175,2.3967899116360423,-0.7765040293777725,1.973101705303601e-15,1.6158504378860716e-16,1.2888136753879026e-17,8.486831151737119e-24,1.2351490057944513e-24,5.460509000661883,9.091268542405893e-11,1.4832032665005125e-11,9.443424189606829e-12,5.341280217033091e-12,5.695007380137719e-13,4.82920614066847e-14,4.988523023412193e-14,2.873450259939292e-14,6.915198167089574e-15
26,116,8.517928529416585e-14,8.553683336112045e-11,1.1222872862325096e-11,8.244493390005422e-10,2.691721422357315,-3.3587841692136253,2.4012886423968514,-0.7786335339022319,1.645828101402753e-15,1.7815411614196414e-16,1.6537735927683258e-17,1.0875384308885265e-23,1.2388307783259053e-24,5.966078840454979,6.933104284309602e-11,1.8037296725237478e-11,8.899202272482129e-12,6.153243340169896e-12,6.338172649567401e-13,3.6217534509118287e-14,4.595478414061852e-14,4.305857802767867e-14,8.065151390197956e-15
27,114,1.0831876333171365e-13,1.0904711956385419e-10,1.0239219948182673e-11,1.0749258058170153e-09,2.6815418875142893,-3.306251382718497,2.343205537160787,-0.754872564998176,2.5268924831903766e-15,1.4803454590600824e-16,2.2551658482622392e-17,1.4801708783318707e-23,9.332786102027344e-25,5.17336119472774,8.936599425516879e-11,1.6693324478232454e-11,1.0470090356596503e-11,5.7483858671563785e-12,5.318582368364023e-13,1.9449332238809166e-14,6.444582799714889e-14,4.3983805739893414e-14,7.108142453321826e-15
28,139,1.0125959356850553e-13,1.0202569119754266e-10,1.9233789061294398e-11,1.5716622356205667e-09,2.581549646187602,-3.1750768744306725,2.296595276100973,-0.7547103235743627,1.7174739639393713e-15,2.370833338307409e-16,5.289815620368095e-17,2.5706462664790428e-23,2.836352737831315e-24,6.068453905033005,6.450358594364614e-11,1.6516161993462297e-11,1.0913518989143946e-11,1.2485107994438503e-11,1.4237483214170964e-12,2.7179856838451436e-14,4.7726669173981375e-14,3.98162882862677e-14,9.059073728783722e-15
29,132,9.259973667751699e-14,9.307215776728285e-11,1.569124683739668e-11,1.2227699452319822e-09,2.6668889003750076,-3.325895243580336,2.3782781229841072,-0.7789701067627524,1.7018651625186651e-15,2.537028297314561e-16,1.650619885390633e-17,1.8020579681472178e-23,3.5854114846068894e-24,5.90944283945165,4.897423444899415e-11,2.1604682988923852e-11,1.379237423474269e-11,9.572592180788258e-12,9.081489322256661e-13,1.3478051276145115e-14,8.501008125481009e-14,6.217220917133751e-14,7.026758444717195e-15
30,200,1.449412102080087e-13,1.4496335870777117e-10,5.348017071942254e-11,4.948664316595618e-10,2.4523456706557196,-2.9889989577192018,2.1796326152572996,-0.7326888374856969,1.611451383757375e-15,7.285331960196052e-16,2.1858964654792452e-16,8.254842290255276e-23,8.095652885559684e-24,6.917776245847238,8.254001027919699e-11,2.070422711911278e-11,1.7621711542523703e-11,3.766445533854323e-11,4.852066114550965e-12,1.8927452921300682e-14,4.819283835006901e-14,5.3900271710075225e-14,1.445710896731222e-14
31,152,9.010017525811597e-14,9.106795640522866e-11,1.7867168466879726e-11,1.6873248211210906e-09,2.568734970693862,-3.1463563480837964,2.2581227318854453,-0.7355691008926919,1.4896271893319423e-15,2.552687999503206e-16,4.164889504030084e-17,3.103349913137342e-23,4.672023152509306e-24,5.94101343539538,6.380664818793184e-11,1.507428036743768e-11,1.1963027278768638e-11,1.100839525768442e-11,1.2948542394454033e-12,9.904434697587847e-15,3.948077417395443e-14,4.0741109193253505e-14,8.747745408239055e-15
